Filing Date,Company,CUSIP,Value (x1000 USD),Shares
09-30-2020,10X GENOMICS INC,88025U109,13379,107309
09-30-2020,10X GENOMICS INC,88025U109,140,1119
09-30-2020,10X GENOMICS INC,88025U109,3580,28712
09-30-2020,10X GENOMICS INC,88025U109,105348,844947
09-30-2020,10X GENOMICS INC,88025U109,99945,801612
09-30-2020,10X GENOMICS INC,88025U109,183281,1470009
09-30-2020,10X GENOMICS INC,88025U109,4168,33429
09-30-2020,10X GENOMICS INC,88025U109,171,1373
09-30-2020,111 INC,68247Q102,82,13188
09-30-2020,111 INC,68247Q102,851,137285
09-30-2020,111 INC,68247Q102,348,56071
09-30-2020,1347 PPTY INS HLDGS INC,68244P107,25,6428
09-30-2020,1895 BANCORP OF WIS INC,28252W105,5,538
09-30-2020,1895 BANCORP OF WIS INC,28252W105,15,1607
09-30-2020,1LIFE HEALTHCARE INC,68269G107,2229,78605
09-30-2020,1LIFE HEALTHCARE INC,68269G107,71,2499
09-30-2020,1LIFE HEALTHCARE INC,68269G107,43,1506
09-30-2020,1LIFE HEALTHCARE INC,68269G107,478,16854
09-30-2020,1LIFE HEALTHCARE INC,68269G107,10099,356107
09-30-2020,1LIFE HEALTHCARE INC,68269G107,11004,388002
09-30-2020,1LIFE HEALTHCARE INC,68269G107,74668,2632857
09-30-2020,1LIFE HEALTHCARE INC,68269G107,65604,2313254
09-30-2020,1LIFE HEALTHCARE INC,68269G107,542,19109
09-30-2020,1LIFE HEALTHCARE INC,68269G107,22,763
09-30-2020,1LIFE HEALTHCARE INC,68269G107,1485,52347
09-30-2020,1LIFE HEALTHCARE INC,68269G107,6,203
09-30-2020,1LIFE HEALTHCARE INC,68269G107,786,27707
09-30-2020,1LIFE HEALTHCARE INC,68269G107,1494,52670
09-30-2020,1LIFE HEALTHCARE INC,68269G107,75,2627
09-30-2020,1LIFE HEALTHCARE INC,68269G107,1210,42649
09-30-2020,1LIFE HEALTHCARE INC,68269G107,425,14975
09-30-2020,1LIFE HEALTHCARE INC,68269G107,74,2614
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,96,8077
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,467,39253
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,207,17411
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,3507,294693
09-30-2020,1ST CONSTITUTION BANCORP,31986N102,1062,89257
09-30-2020,1ST SOURCE CORP,336901103,626,20289
09-30-2020,1ST SOURCE CORP,336901103,9,281
09-30-2020,1ST SOURCE CORP,336901103,1555,50414
09-30-2020,1ST SOURCE CORP,336901103,930,30150
09-30-2020,1ST SOURCE CORP,336901103,15214,493310
09-30-2020,1ST SOURCE CORP,336901103,18584,602608
09-30-2020,1ST SOURCE CORP,336901103,41,1319
09-30-2020,1ST SOURCE CORP,336901103,439,14247
09-30-2020,1ST SOURCE CORP,336901103,77,2512
09-30-2020,1ST SOURCE CORP,336901103,355,11507
09-30-2020,1ST SOURCE CORP,336901103,47,1516
09-30-2020,21VIANET GROUP INC,90138A103,193,8317
09-30-2020,21VIANET GROUP INC,90138A103,17234,744143
09-30-2020,21VIANET GROUP INC,90138A103,13871,598900
09-30-2020,21VIANET GROUP INC,90138A103,74,3179
09-30-2020,21VIANET GROUP INC,90138A103,5420,234039
09-30-2020,21VIANET GROUP INC,90138A103,88,3821
09-30-2020,22ND CENTY GROUP INC,90137F103,52,80468
09-30-2020,22ND CENTY GROUP INC,90137F103,1387,2164524
09-30-2020,2U INC,90214J101,4802,141819
09-30-2020,2U INC,90214J101,13,389
09-30-2020,2U INC,90214J101,42,1240
09-30-2020,2U INC,90214J101,1146,33846
09-30-2020,2U INC,90214J101,575,16979
09-30-2020,2U INC,90214J101,34025,1004863
09-30-2020,2U INC,90214J101,61342,1811640
09-30-2020,2U INC,90214J101,27,785
09-30-2020,2U INC,90214J101,1262,37273
09-30-2020,2U INC,90214J101,380,11234
09-30-2020,2U INC,90214J101,1108,32732
09-30-2020,2U INC,90214J101,40,1195
09-30-2020,2U INC,90214J101,105,3106
09-30-2020,2U INC,90214J101,65,1923
09-30-2020,2U INC,90214J101,254,7497
09-30-2020,3-D SYS CORP DEL,88554D205,678,138146
09-30-2020,3-D SYS CORP DEL,88554D205,3,575
09-30-2020,3-D SYS CORP DEL,88554D205,14,2861
09-30-2020,3-D SYS CORP DEL,88554D205,0,17
09-30-2020,3-D SYS CORP DEL,88554D205,2654,540576
09-30-2020,3-D SYS CORP DEL,88554D205,1088,221643
09-30-2020,3-D SYS CORP DEL,88554D205,62969,12824685
09-30-2020,3-D SYS CORP DEL,88554D205,16332,3326236
09-30-2020,3-D SYS CORP DEL,88554D205,265,54015
09-30-2020,3-D SYS CORP DEL,88554D205,75,15374
09-30-2020,3-D SYS CORP DEL,88554D205,3192,650058
09-30-2020,3-D SYS CORP DEL,88554D205,54,11083
09-30-2020,360 DIGITECH INC,88557W101,109,9089
09-30-2020,360 DIGITECH INC,88557W101,40,3390
09-30-2020,360 DIGITECH INC,88557W101,188,15735
09-30-2020,360 DIGITECH INC,88557W101,6413,537125
09-30-2020,360 DIGITECH INC,88557W101,4668,390969
09-30-2020,360 DIGITECH INC,88557W101,2327,194924
09-30-2020,360 DIGITECH INC,88557W101,704,58945
09-30-2020,3M CO,88579Y101,293720,1833684
09-30-2020,3M CO,88579Y101,49690,310212
09-30-2020,3M CO,88579Y101,98541,615189
09-30-2020,3M CO,88579Y101,1756,10962
09-30-2020,3M CO,88579Y101,11335,70767
09-30-2020,3M CO,88579Y101,16,101
09-30-2020,3M CO,88579Y101,189795,1184884
09-30-2020,3M CO,88579Y101,25020,156202
09-30-2020,3M CO,88579Y101,3786,23636
09-30-2020,3M CO,88579Y101,1964222,12262590
09-30-2020,3M CO,88579Y101,2287722,14282196
09-30-2020,3M CO,88579Y101,88944,555277
09-30-2020,3M CO,88579Y101,108889,679790
09-30-2020,3M CO,88579Y101,558995,3489791
09-30-2020,3M CO,88579Y101,18355,114590
09-30-2020,3M CO,88579Y101,23352,145788
09-30-2020,3M CO,88579Y101,359592,2244922
09-30-2020,3M CO,88579Y101,55924,349135
09-30-2020,3M CO,88579Y101,8897,55542
09-30-2020,3M CO,88579Y101,11435,71389
09-30-2020,3M CO,88579Y101,61837,386048
09-30-2020,3M CO,88579Y101,2041,12745
09-30-2020,51JOB INC,316827104,2248,28818
09-30-2020,51JOB INC,316827104,973,12480
09-30-2020,51JOB INC,316827104,580,7431
09-30-2020,51JOB INC,316827104,758,9717
09-30-2020,51JOB INC,316827104,617,7911
09-30-2020,51JOB INC,316827104,34093,437140
09-30-2020,51JOB INC,316827104,22942,294166
09-30-2020,51JOB INC,316827104,1064,13643
09-30-2020,51JOB INC,316827104,1425,18276
09-30-2020,51JOB INC,316827104,12542,160818
09-30-2020,51JOB INC,316827104,423,5421
09-30-2020,51JOB INC,316827104,155,1983
09-30-2020,51JOB INC,316827104,11321,145160
09-30-2020,51JOB INC,316827104,31,401
09-30-2020,51JOB INC,316827104,145,1857
09-30-2020,51JOB INC,316827104,15,196
09-30-2020,89BIO INC,282559103,64,2490
09-30-2020,89BIO INC,282559103,649,25300
09-30-2020,89BIO INC,282559103,305,11870
09-30-2020,89BIO INC,282559103,5346,208340
09-30-2020,89BIO INC,282559103,4816,187686
09-30-2020,8X8 INC NEW,282914100,2225,143100
09-30-2020,8X8 INC NEW,282914100,7,422
09-30-2020,8X8 INC NEW,282914100,34,2159
09-30-2020,8X8 INC NEW,282914100,8472,544840
09-30-2020,8X8 INC NEW,282914100,14471,930625
09-30-2020,8X8 INC NEW,282914100,175642,11295283
09-30-2020,8X8 INC NEW,282914100,61391,3947943
09-30-2020,8X8 INC NEW,282914100,1180,75895
09-30-2020,8X8 INC NEW,282914100,20,1298
09-30-2020,8X8 INC NEW,282914100,4454,286435
09-30-2020,8X8 INC NEW,282914100,285,18352
09-30-2020,8X8 INC NEW,282914100,2650,170428
09-30-2020,8X8 INC NEW,282914100,43,2781
09-30-2020,8X8 INC NEW,282914100,50,3208
09-30-2020,8X8 INC NEW,282914100,164,10544
09-30-2020,8X8 INC NEW,282914AB6,1442,1550000
09-30-2020,9 METERS BIOPHARMA INC,654405109,14,17737
09-30-2020,9 METERS BIOPHARMA INC,654405109,207,254242
09-30-2020,A H BELO CORP,001282102,7,5288
09-30-2020,A H BELO CORP,001282102,95,67643
09-30-2020,A H BELO CORP,001282102,674,478360
09-30-2020,A-MARK PRECIOUS METALS INC,00181T107,147,4347
09-30-2020,A-MARK PRECIOUS METALS INC,00181T107,630,18681
09-30-2020,A-MARK PRECIOUS METALS INC,00181T107,288,8538
09-30-2020,A-MARK PRECIOUS METALS INC,00181T107,4998,148231
09-30-2020,A-MARK PRECIOUS METALS INC,00181T107,2025,60051
09-30-2020,A10 NETWORKS INC,002121101,299,46965
09-30-2020,A10 NETWORKS INC,002121101,7,1036
09-30-2020,A10 NETWORKS INC,002121101,1814,284706
09-30-2020,A10 NETWORKS INC,002121101,2119,332637
09-30-2020,A10 NETWORKS INC,002121101,13438,2109567
09-30-2020,A10 NETWORKS INC,002121101,14692,2306401
09-30-2020,A10 NETWORKS INC,002121101,280,43898
09-30-2020,A10 NETWORKS INC,002121101,218,34180
09-30-2020,A10 NETWORKS INC,002121101,2267,355824
09-30-2020,A10 NETWORKS INC,002121101,29,4609
09-30-2020,A10 NETWORKS INC,002121101,56,8748
09-30-2020,A10 NETWORKS INC,002121101,16,2506
09-30-2020,AAON INC,000360206,1992,33069
09-30-2020,AAON INC,000360206,13,209
09-30-2020,AAON INC,000360206,185,3071
09-30-2020,AAON INC,000360206,2,27
09-30-2020,AAON INC,000360206,12028,199641
09-30-2020,AAON INC,000360206,6543,108598
09-30-2020,AAON INC,000360206,258737,4294389
09-30-2020,AAON INC,000360206,70962,1177790
09-30-2020,AAON INC,000360206,129,2137
09-30-2020,AAON INC,000360206,43,711
09-30-2020,AAON INC,000360206,1395,23146
09-30-2020,AAON INC,000360206,382,6344
09-30-2020,AAON INC,000360206,3883,64441
09-30-2020,AAON INC,000360206,57,950
09-30-2020,AAON INC,000360206,107,1777
09-30-2020,AAON INC,000360206,284,4716
09-30-2020,AAR CORP,000361105,835,44424
09-30-2020,AAR CORP,000361105,1,66
09-30-2020,AAR CORP,000361105,10,534
09-30-2020,AAR CORP,000361105,2924,155524
09-30-2020,AAR CORP,000361105,1557,82832
09-30-2020,AAR CORP,000361105,74111,3942094
09-30-2020,AAR CORP,000361105,18392,978308
09-30-2020,AAR CORP,000361105,556,29590
09-30-2020,AAR CORP,000361105,86,4566
09-30-2020,AAR CORP,000361105,994,52880
09-30-2020,AAR CORP,000361105,13,712
09-30-2020,AAR CORP,000361105,67,3586
09-30-2020,AARONS INC,002535300,5767,101801
09-30-2020,AARONS INC,002535300,17,307
09-30-2020,AARONS INC,002535300,101,1790
09-30-2020,AARONS INC,002535300,22471,396661
09-30-2020,AARONS INC,002535300,9223,162814
09-30-2020,AARONS INC,002535300,250579,4423275
09-30-2020,AARONS INC,002535300,129766,2290667
09-30-2020,AARONS INC,002535300,242,4274
09-30-2020,AARONS INC,002535300,55,972
09-30-2020,AARONS INC,002535300,2276,40185
09-30-2020,AARONS INC,002535300,524,9252
09-30-2020,AARONS INC,002535300,1547,27309
09-30-2020,AARONS INC,002535300,206,3641
09-30-2020,AARONS INC,002535300,407,7185
09-30-2020,ABB LTD,000375204,5,216
09-30-2020,ABBOTT LABS,002824100,575145,5284802
09-30-2020,ABBOTT LABS,002824100,99490,914179
09-30-2020,ABBOTT LABS,002824100,179020,1644953
09-30-2020,ABBOTT LABS,002824100,6669,61277
09-30-2020,ABBOTT LABS,002824100,20570,189013
09-30-2020,ABBOTT LABS,002824100,10,91
09-30-2020,ABBOTT LABS,002824100,421427,3872338
09-30-2020,ABBOTT LABS,002824100,755573,6942686
09-30-2020,ABBOTT LABS,002824100,12228,112356
09-30-2020,ABBOTT LABS,002824100,4970356,45670826
09-30-2020,ABBOTT LABS,002824100,4563264,41930202
09-30-2020,ABBOTT LABS,002824100,146347,1344729
09-30-2020,ABBOTT LABS,002824100,299648,2753363
09-30-2020,ABBOTT LABS,002824100,988817,9085888
09-30-2020,ABBOTT LABS,002824100,37774,347090
09-30-2020,ABBOTT LABS,002824100,46747,429544
09-30-2020,ABBOTT LABS,002824100,798855,7340394
09-30-2020,ABBOTT LABS,002824100,59118,543215
09-30-2020,ABBOTT LABS,002824100,10607,97467
09-30-2020,ABBOTT LABS,002824100,575898,5291717
09-30-2020,ABBOTT LABS,002824100,122252,1123328
09-30-2020,ABBOTT LABS,002824100,4307,39574
09-30-2020,ABBVIE INC,00287Y109,400934,4577391
09-30-2020,ABBVIE INC,00287Y109,78514,896378
09-30-2020,ABBVIE INC,00287Y109,150395,1717032
09-30-2020,ABBVIE INC,00287Y109,10859,123973
09-30-2020,ABBVIE INC,00287Y109,19061,217617
09-30-2020,ABBVIE INC,00287Y109,503116,5743989
09-30-2020,ABBVIE INC,00287Y109,332947,3801204
09-30-2020,ABBVIE INC,00287Y109,3259238,37210156
09-30-2020,ABBVIE INC,00287Y109,3764075,42973798
09-30-2020,ABBVIE INC,00287Y109,115111,1314202
09-30-2020,ABBVIE INC,00287Y109,189274,2160912
09-30-2020,ABBVIE INC,00287Y109,808473,9230202
09-30-2020,ABBVIE INC,00287Y109,30297,345891
09-30-2020,ABBVIE INC,00287Y109,32947,376146
09-30-2020,ABBVIE INC,00287Y109,686772,7840760
09-30-2020,ABBVIE INC,00287Y109,66549,759781
09-30-2020,ABBVIE INC,00287Y109,8522,97294
09-30-2020,ABBVIE INC,00287Y109,119728,1366919
09-30-2020,ABBVIE INC,00287Y109,104953,1198229
09-30-2020,ABBVIE INC,00287Y109,2227,25428
09-30-2020,ABBVIE INC,00287Y109,3445,39335
09-30-2020,ABEONA THERAPEUTICS INC,00289Y107,49,47592
09-30-2020,ABEONA THERAPEUTICS INC,00289Y107,1,745
09-30-2020,ABEONA THERAPEUTICS INC,00289Y107,254,248716
09-30-2020,ABEONA THERAPEUTICS INC,00289Y107,125,122783
09-30-2020,ABEONA THERAPEUTICS INC,00289Y107,1992,1953356
09-30-2020,ABEONA THERAPEUTICS INC,00289Y107,1554,1523675
09-30-2020,ABERCROMBIE & FITCH CO,002896207,1129,81041
09-30-2020,ABERCROMBIE & FITCH CO,002896207,5,349
09-30-2020,ABERCROMBIE & FITCH CO,002896207,37,2676
09-30-2020,ABERCROMBIE & FITCH CO,002896207,4057,291256
09-30-2020,ABERCROMBIE & FITCH CO,002896207,2305,165469
09-30-2020,ABERCROMBIE & FITCH CO,002896207,94364,6774176
09-30-2020,ABERCROMBIE & FITCH CO,002896207,28033,2012414
09-30-2020,ABERCROMBIE & FITCH CO,002896207,94,6781
09-30-2020,ABERCROMBIE & FITCH CO,002896207,864,62055
09-30-2020,ABERCROMBIE & FITCH CO,002896207,114,8162
09-30-2020,ABERCROMBIE & FITCH CO,002896207,1362,97784
09-30-2020,ABERCROMBIE & FITCH CO,002896207,49,3525
09-30-2020,ABERCROMBIE & FITCH CO,002896207,163,11709
09-30-2020,ABERCROMBIE & FITCH CO,002896207,94,6737
09-30-2020,ABERCROMBIE & FITCH CO,002896207,108,7770
09-30-2020,ABIOMED INC,003654100,34443,124317
09-30-2020,ABIOMED INC,003654100,6162,22240
09-30-2020,ABIOMED INC,003654100,10775,38891
09-30-2020,ABIOMED INC,003654100,33,118
09-30-2020,ABIOMED INC,003654100,1238,4468
09-30-2020,ABIOMED INC,003654100,29327,105851
09-30-2020,ABIOMED INC,003654100,85997,310393
09-30-2020,ABIOMED INC,003654100,1274,4600
09-30-2020,ABIOMED INC,003654100,414806,1497169
09-30-2020,ABIOMED INC,003654100,290309,1047820
09-30-2020,ABIOMED INC,003654100,8622,31119
09-30-2020,ABIOMED INC,003654100,13657,49291
09-30-2020,ABIOMED INC,003654100,64195,231701
09-30-2020,ABIOMED INC,003654100,2383,8602
09-30-2020,ABIOMED INC,003654100,2648,9557
09-30-2020,ABIOMED INC,003654100,80748,291445
09-30-2020,ABIOMED INC,003654100,3739,13494
09-30-2020,ABIOMED INC,003654100,35003,126338
09-30-2020,ABIOMED INC,003654100,7500,27069
09-30-2020,ABIOMED INC,003654100,312,1125
09-30-2020,ABM INDS INC,000957100,2908,79321
09-30-2020,ABM INDS INC,000957100,13,343
09-30-2020,ABM INDS INC,000957100,1711,46684
09-30-2020,ABM INDS INC,000957100,11499,313669
09-30-2020,ABM INDS INC,000957100,4555,124255
09-30-2020,ABM INDS INC,000957100,266030,7256677
09-30-2020,ABM INDS INC,000957100,70066,1911225
09-30-2020,ABM INDS INC,000957100,32,883
09-30-2020,ABM INDS INC,000957100,676,18439
09-30-2020,ABM INDS INC,000957100,361,9843
09-30-2020,ABM INDS INC,000957100,3867,105489
09-30-2020,ABM INDS INC,000957100,34,927
09-30-2020,ABM INDS INC,000957100,177,4816
09-30-2020,ABM INDS INC,000957100,226,6159
09-30-2020,ABRAXAS PETE CORP,003830106,37,253140
09-30-2020,ABRAXAS PETE CORP,003830106,455,3115817
09-30-2020,AC IMMUNE SA,H00263105,3301,676490
09-30-2020,AC IMMUNE SA,H00263105,18,3703
09-30-2020,AC IMMUNE SA,H00263105,72,14829
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,1921,28504
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,22,333
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,54,796
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,10247,152030
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,9041,134139
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,95499,1416892
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,74796,1109730
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,295,4375
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,1766,26195
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,378,5605
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,931,13807
09-30-2020,ACACIA COMMUNICATIONS INC,00401C108,227,3373
09-30-2020,ACACIA RESH CORP,003881307,99,28401
09-30-2020,ACACIA RESH CORP,003881307,4,1136
09-30-2020,ACACIA RESH CORP,003881307,475,136756
09-30-2020,ACACIA RESH CORP,003881307,71,20568
09-30-2020,ACACIA RESH CORP,003881307,4376,1261210
09-30-2020,ACACIA RESH CORP,003881307,3844,1107833
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,7338,248930
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,13,425
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,75,2558
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,6769,229629
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,652,22116
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,119417,4050794
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,81416,2761741
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,21,700
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,1149,38970
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,323,10960
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,2250,76332
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,98,3340
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,61,2075
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,155,5256
09-30-2020,ACADIA HEALTHCARE COMPANY IN,00404A109,250,8473
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,9804,237679
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,31,762
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,89,2163
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,2907,70463
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,3665,88846
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,130815,3171268
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,124961,3029368
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,294,7116
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,81,1961
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,3478,84316
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,660,16005
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,17713,429413
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,88,2130
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,107,2595
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,200,4840
09-30-2020,ACADIA PHARMACEUTICALS INC,004225108,507,12286
09-30-2020,ACADIA RLTY TR,004239109,1459,138926
09-30-2020,ACADIA RLTY TR,004239109,638,60747
09-30-2020,ACADIA RLTY TR,004239109,1081,102992
09-30-2020,ACADIA RLTY TR,004239109,4173,397453
09-30-2020,ACADIA RLTY TR,004239109,5584,531816
09-30-2020,ACADIA RLTY TR,004239109,99030,9431417
09-30-2020,ACADIA RLTY TR,004239109,38636,3679579
09-30-2020,ACADIA RLTY TR,004239109,464,44218
09-30-2020,ACADIA RLTY TR,004239109,3020,287633
09-30-2020,ACADIA RLTY TR,004239109,2598,247440
09-30-2020,ACADIA RLTY TR,004239109,175,16703
09-30-2020,ACADIA RLTY TR,004239109,575,54761
09-30-2020,ACADIA RLTY TR,004239109,5215,496698
09-30-2020,ACADIA RLTY TR,004239109,137,13033
09-30-2020,ACADIA RLTY TR,004239109,77,7333
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,283,26458
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,9,838
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,1718,160415
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,908,84735
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,14762,1378373
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,13443,1255149
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,18,1651
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,85,7933
09-30-2020,ACCEL ENTERTAINMENT INC,00436Q106,43,4055
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,211,19823
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,6,544
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,1299,121894
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,629,59052
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,9933,931762
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,9939,932363
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,135,12695
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,46,4337
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,1560,146347
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,8,773
09-30-2020,ACCELERATE DIAGNOSTICS INC,00430H102,29,2759
09-30-2020,ACCELERON PHARMA INC,00434H108,19237,170953
09-30-2020,ACCELERON PHARMA INC,00434H108,36,316
09-30-2020,ACCELERON PHARMA INC,00434H108,109,972
09-30-2020,ACCELERON PHARMA INC,00434H108,9002,79997
09-30-2020,ACCELERON PHARMA INC,00434H108,127889,1136492
09-30-2020,ACCELERON PHARMA INC,00434H108,146846,1304951
09-30-2020,ACCELERON PHARMA INC,00434H108,153399,1363180
09-30-2020,ACCELERON PHARMA INC,00434H108,340,3018
09-30-2020,ACCELERON PHARMA INC,00434H108,76,672
09-30-2020,ACCELERON PHARMA INC,00434H108,4739,42109
09-30-2020,ACCELERON PHARMA INC,00434H108,794,7053
09-30-2020,ACCELERON PHARMA INC,00434H108,3426,30446
09-30-2020,ACCELERON PHARMA INC,00434H108,111,983
09-30-2020,ACCELERON PHARMA INC,00434H108,55529,493457
09-30-2020,ACCELERON PHARMA INC,00434H108,186,1655
09-30-2020,ACCELERON PHARMA INC,00434H108,535,4751
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,386833,1711727
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,70455,311762
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,140987,623865
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,1973,8732
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,15862,70188
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,0,1
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,282885,1251761
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,38177,168933
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,3700099,16372843
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,3475610,15379486
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,103679,458775
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,191738,848436
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,945120,4182133
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,28286,125167
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,7686,34012
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,763220,3377231
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,38649,171021
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,7859,34774
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,16661,73725
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,102470,453428
09-30-2020,ACCENTURE PLC IRELAND,G1151C101,3206,14188
09-30-2020,ACCO BRANDS CORP,00081T108,810,139584
09-30-2020,ACCO BRANDS CORP,00081T108,5,936
09-30-2020,ACCO BRANDS CORP,00081T108,13,2192
09-30-2020,ACCO BRANDS CORP,00081T108,2027,349425
09-30-2020,ACCO BRANDS CORP,00081T108,3103,535008
09-30-2020,ACCO BRANDS CORP,00081T108,17070,2943022
09-30-2020,ACCO BRANDS CORP,00081T108,16637,2868494
09-30-2020,ACCO BRANDS CORP,00081T108,23,3975
09-30-2020,ACCO BRANDS CORP,00081T108,21,3623
09-30-2020,ACCO BRANDS CORP,00081T108,121,20929
09-30-2020,ACCO BRANDS CORP,00081T108,64,11057
09-30-2020,ACCO BRANDS CORP,00081T108,292,50374
09-30-2020,ACCO BRANDS CORP,00081T108,52,8899
09-30-2020,ACCO BRANDS CORP,00081T108,75,12948
09-30-2020,ACCOLADE INC,00437E102,583,14996
09-30-2020,ACCOLADE INC,00437E102,2019,51945
09-30-2020,ACCOLADE INC,00437E102,4457,114666
09-30-2020,ACCOLADE INC,00437E102,14158,364250
09-30-2020,ACCOLADE INC,00437E102,12301,316461
09-30-2020,ACCOLADE INC,00437E102,230,5926
09-30-2020,ACCOLADE INC,00437E102,53,1376
09-30-2020,ACCOLADE INC,00437E102,643,16543
09-30-2020,ACCOLADE INC,00437E102,1435,36924
09-30-2020,ACCURAY INC,004397105,201,83670
09-30-2020,ACCURAY INC,004397105,4,1754
09-30-2020,ACCURAY INC,004397105,932,388318
09-30-2020,ACCURAY INC,004397105,591,246122
09-30-2020,ACCURAY INC,004397105,7306,3044306
09-30-2020,ACCURAY INC,004397105,7113,2963572
09-30-2020,ACCURAY INC,004397105,21,8741
09-30-2020,ACCURAY INC,004397105,233,97241
09-30-2020,ACELRX PHARMACEUTICALS INC,00444T100,126,88627
09-30-2020,ACELRX PHARMACEUTICALS INC,00444T100,422,296852
09-30-2020,ACELRX PHARMACEUTICALS INC,00444T100,209,147500
09-30-2020,ACELRX PHARMACEUTICALS INC,00444T100,3687,2596520
09-30-2020,ACELRX PHARMACEUTICALS INC,00444T100,3302,2325523
09-30-2020,ACER THERAPEUTICS INC,00444P108,1,368
09-30-2020,ACER THERAPEUTICS INC,00444P108,269,93270
